book_id	page	quotation
medicine-river-king	201	He collected these interests the way some people collect stamps, and though they never seemed to last very long, the knowledge accumulated in Harlen’s brain like brown grocery bags in a closet.
medicine-river-king	188	The truth of the matter, she told me, was that marriage was always more of a burden on women than on men, that women always had to take on extra weight, while men just fell into marriage as if they were falling into bed.
medicine-river-king	217	[“Formidable.”] Harlen liked words like that, not because they were big or important sounding, but because people didn’t use them much, and there was the chance that they might get lost. … “Good words are hard to find.”
